Cuisines,Cuisines
"Mughlai, Fast Food",5
"North Indian, Biryani, Chinese, Fast Food",5
"Bakery, Chinese",5
"North Indian, Chinese, South Indian, Mithai",5
"Pizza, Sandwich",5
"Cafe, European",5
"American, Italian",5
"Finger Food, North Indian, Italian",5
"North Indian, Mughlai, Chinese, South Indian",5
"American, Tex-Mex",5
"Italian, Pizza, Sandwich",5
"Street Food, South Indian, Mithai",5
"North Indian, Fast Food, South Indian",4
"European, Italian",4
"Chinese, Seafood",4
Juices,4
"Italian, Continental, European, Cafe",4
"Chinese, North Indian, Italian",4
"American, Bar Food",4
"Fast Food, Italian, Pizza",4
"South Indian, Chinese, North Indian",4
"European, Chinese, North Indian, Italian",4
"American, Burger, Sandwich",4
"Healthy Food, Juices",4
"Brazilian, Bar Food",4
"Healthy Food, Beverages",4
"Bakery, Fast Food, Chinese",4
"North Indian, Asian, Continental",4
"Kebab, Turkish Pizza",4
"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",4
"Chinese, Asian",4
"North Indian, Rajasthani",4
"North Indian, South Indian, Street Food, Mithai",4
"Mithai, Street Food, North Indian",4
"American, BBQ, Steak",4
"North Indian, Mithai",4
"North Indian, Chinese, South Indian, Seafood, Chettinad",4
"Healthy Food, Continental",4
"Chinese, Italian, North Indian",4
Breakfast,4
Afghani,4
"Chinese, South Indian, Fast Food",4
"American, Southern",4
Rajasthani,4
"Cafe, Chinese, Italian",4
Mediterranean,4
"Continental, American, Asian, North Indian",4
Sushi,4
"Portuguese, African",4
"North Indian, Chinese, Finger Food",4
"Chinese, Thai, Fast Food",4
"North Indian, Chinese, Continental, Fast Food",4
"North Indian, Bengali",4
Turkish,4
"Chinese, Japanese, Thai",4
"Cafe, Continental, Chinese",4
Southern,4
"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",4
"Fast Food, Desserts",4
"Raw Meats, North Indian",3
"North Indian, South Indian, Chinese, Mithai",3
"Burmese, Chinese, Japanese, Malaysian, Thai",3
"American, Italian, Pizza",3
Gujarati,3
"American, Breakfast, Burger",3
"Fast Food, Turkish",3
"Japanese, Korean",3
"Cafe, Chinese, Fast Food",3
"Bakery, Cafe",3
Lucknowi,3
"North Indian, Street Food, Fast Food",3
"Italian, North Indian, Continental",3
"Mexican, American, Tex-Mex, Burger",3
"North Indian, Continental, Mughlai, Asian",3
"Chinese, Thai, Japanese",3
"North Indian, Mughlai, Chinese, Seafood",3
Filipino,3
"Continental, Fast Food",3
Naga,3
"Cafe, Italian, Lebanese",3
"North Indian, Mediterranean, Asian",3
"Burger, Fast Food, Chinese",3
"North Indian, Fast Food, Italian, Asian",3
"Mexican, Fast Food",3
German,3
"South Indian, Biryani",3
"American, Steak",3
"Pizza, Bar Food",3
"North Indian, Mughlai, Fast Food",3
"North Indian, Continental, Fast Food",3
"Bakery, Desserts, Beverages",3
"Bakery, Chinese, Fast Food",3
"Chinese, Mughlai",3
"North Indian, Continental, Chinese, Italian",3
"Continental, American, Italian",3
Bar Food,3
"Parsi, Iranian",3
"Bakery, Fast Food, Desserts",3
"Thai, Chinese",3
Nepalese,3
"Indian, North Indian",3
"American, Mexican",3
"Mithai, Bakery",3
"American, Pizza, Bar Food",3
"Sunda, Indonesian",3
"Chinese, Italian, Fast Food",3
"Cafe, Fast Food, North Indian",3
"Street Food, Desserts",3
"Fast Food, North Indian, South Indian",3
"Asian, Thai",3
"Mithai, Chinese",3
"Desserts, Bakery, Fast Food",3
"Cafe, Italian, Chinese",3
"Chinese, South Indian, North Indian",3
"Chinese, North Indian, Fast Food, Italian",3
"Desserts, Ice Cream, Fast Food",3
"Street Food, Beverages",3
"Cafe, Beverages",3
"Spanish, Tapas",3
"Bakery, Desserts, Cafe",3
"Fast Food, Chinese, Bakery",3
"Cafe, North Indian, Continental",3
"European, Mediterranean, North Indian",3
"Mediterranean, Italian",3
"Burger, American",3
"Sushi, Asian",3
"Seafood, North Indian",3
"North Indian, Mughlai, Chinese, Continental",3
"Mithai, North Indian, South Indian, Street Food",3
"Pizza, Cafe, Italian",3
"Kerala, South Indian",3
Bihari,3
British,3
"North Indian, Italian",3
"Chinese, Continental",3
"Breakfast, Burger",3
"Indian, Street Food",3
"North Indian, South Indian, Mughlai",3
"Ice Cream, Beverages",3
"Chinese, Thai, Seafood",3
"Desserts, Cafe",3
"South Indian, Chinese, Fast Food",3
"Italian, Mediterranean, Pizza",3
"North Indian, Chinese, Cafe",3
"Mithai, South Indian, Street Food",3
"Lebanese, Arabian, Moroccan",3
"Chinese, North Indian, Mughlai, Continental",3
"Bakery, Italian, Chinese, Mexican",3
"Street Food, South Indian",3
"North Indian, Chinese, Continental, Thai",3
"Asian, Thai, Chinese",3
"North Indian, South Indian, Street Food",3
"Biryani, North Indian, Hyderabadi",3
"Japanese, Sushi, Thai",3
"Burger, Seafood, Steak",3
"Street Food, North Indian, South Indian, Mithai",3
"Hawaiian, Seafood, Steak",3
"Ice Cream, Desserts, Beverages",3
"Lebanese, Arabian",3
"Lebanese, Mediterranean, Middle Eastern, Arabian",3
Raw Meats,3
"Finger Food, North Indian, Chinese",3
"North Indian, Fast Food, Mughlai",3
"Chinese, Seafood, Japanese",3
South American,2
"Steak, American",2
"Mithai, Street Food, Chinese",2
"Cafe, North Indian, Chinese, Continental",2
"Chinese, Fast Food, Bakery",2
"North Indian, Chinese, Raw Meats",2
"Seafood, Italian",2
"Cafe, Italian, Chinese, Continental",2
"Cafe, North Indian, Continental, Chinese",2
"North Indian, Mughlai, Seafood",2
"Cafe, Mexican",2
"North Indian, South Indian, Fast Food, Street Food, Mithai",2
"Chinese, Thai, Sushi",2
"Italian, North Indian",2
"North Indian, Mughlai, Continental",2
"Mithai, Street Food, Fast Food",2
"North Indian, Chinese, Italian, Fast Food",2
"North Indian, South Indian, Chinese, Fast Food, Mithai",2
"Continental, Goan, Seafood, North Indian",2
"South Indian, Fast Food, Chinese",2
"North Indian, Continental, Goan",2
"Fast Food, Beverages, Desserts",2
"Bengali, Seafood",2
"North Indian, South Indian, Chinese, Street Food, Mithai",2
"North Indian, Continental, Chinese, Italian, Thai, Mughlai",2
"Street Food, North Indian, South Indian, Chinese, Mithai",2
"Fast Food, Italian, North Indian, Chinese",2
"Cafe, Fast Food, Desserts",2
"Chinese, North Indian, Street Food",2
"North Indian, Italian, Fast Food",2
"Cafe, Italian, Chinese, North Indian",2
North Eastern,2
"Assamese, Chinese",2
"Italian, Chinese, North Indian",2
"Fast Food, North Indian, Desserts, Ice Cream",2
"Bengali, North Indian, Chinese",2
"North Indian, Mughlai, Chinese, Italian",2
"Fast Food, South Indian",2
"Street Food, Chinese, North Indian, Mithai",2
"Bakery, Desserts, Chinese, Fast Food",2
"Cafe, Desserts, Bakery",2
"Japanese, Asian",2
"Mediterranean, American, Asian",2
"Cafe, North Indian, Fast Food",2
"Chinese, Thai, Continental, North Indian",2
"Italian, Continental, Cafe",2
"Hyderabadi, North Indian",2
Parsi,2
"North Indian, Maharashtrian",2
"Mithai, North Indian, South Indian, Chinese, Street Food",2
"European, Continental, North Indian",2
"Continental, North Indian, Chinese, Cafe",2
"Continental, North Indian, Chinese, Mughlai, Asian",2
"Finger Food, North Indian",2
"Healthy Food, Continental, Juices, Salad",2
"Cafe, Fast Food, Italian",2
"Beverages, Desserts",2
"Fast Food, American, Italian",2
"Ice Cream, Fast Food, Beverages",2
"Finger Food, Italian, North Indian",2
"European, Italian, North Indian",2
"Mediterranean, Italian, Continental, Spanish, North Indian",2
"North Indian, Italian, Chinese, Fast Food",2
"Middle Eastern, Mediterranean, North Indian",2
"Kerala, Biryani",2
"Cafe, Italian, Continental, Chinese",2
"Cafe, Fast Food, Italian, Chinese",2
"Cafe, Continental, Chinese, Italian",2
"Chinese, Beverages",2
Hyderabadi,2
"Cafe, Healthy Food, Continental",2
"Chinese, Mithai",2
"North Indian, South Indian, Chinese, Street Food",2
"Chinese, Japanese",2
"North Indian, European, Asian, Mediterranean",2
"Continental, North Indian, Italian, Asian",2
"Asian, North Indian",2
"Italian, Mediterranean, Continental, North Indian",2
"North Indian, Continental, Finger Food",2
"Continental, North Indian, South Indian",2
"North Indian, Italian, Chinese, Mexican",2
"Mediterranean, Italian, European",2
Drinks Only,2
"Continental, American, North Indian, Chinese",2
"North Indian, Mughlai, Awadhi",2
"North Indian, Mughlai, South Indian",2
"Bakery, Street Food",2
"Street Food, North Indian, Mithai",2
"Japanese, Chinese, Thai",2
"Continental, European, North Indian",2
"European, American, Street Food",2
"Gujarati, Rajasthani",2
"Continental, North Indian, Mughlai, Chinese",2
"Chinese, Thai, Japanese, Tibetan",2
"North Indian, Finger Food",2
"Tibetan, Nepalese",2
"European, American",2
"Japanese, Chinese, Asian, Malaysian, Thai, Vietnamese",2
"Cafe, Continental, Italian, North Indian",2
"South Indian, Street Food, Mithai",2
"Healthy Food, Juices, Salad, Italian, Continental",2
"Fast Food, Street Food, Beverages",2
"Fast Food, North Indian, Beverages",2
"Street Food, Chinese, North Indian",2
"Chinese, Thai, Asian, Malaysian, Vietnamese, Japanese",2
"Cafe, Italian, Fast Food",2
"Continental, American, Italian, Seafood, North Indian, Cafe",2
"Italian, European",2
"North Indian, Thai, Continental",2
"Chinese, Street Food",2
"Fast Food, Chinese, North Indian",2
"Street Food, Bakery",2
Oriya,2
"European, North Indian",2
Tibetan,2
"Tibetan, Chinese, North Indian",2
"Italian, North Indian, Chinese, Mughlai",2
"European, Cafe",2
"Mexican, Italian",2
"Continental, Chinese",2
"Cafe, North Indian, Italian",2
"Continental, European",2
"North Indian, Continental, Italian, Chinese",2
"Thai, Asian",2
"Chinese, Bakery",2
"Cafe, Fast Food, Street Food",2
"Japanese, Thai, Italian, Asian",2
"North Indian, Asian",2
"Mughlai, Lucknowi, Awadhi",2
"South Indian, Kerala",2
"American, Tex-Mex, Italian, Mexican, North Indian",2
Goan,2
"North Indian, Mithai, Street Food",2
"Mithai, North Indian, Chinese, Street Food",2
"Chinese, Seafood, Asian",2
"Continental, Chinese, Thai, Mughlai, North Indian",2
"Modern Indian, North Indian",2
"Hyderabadi, North Indian, Biryani",2
"North Indian, Street Food, South Indian, Fast Food, Chinese",2
"Finger Food, Continental, Italian",2
"North Indian, Mediterranean, Continental",2
"Burger, Pizza, Sandwich",2
"Fast Food, American",2
"Pakistani, Indian",2
Vietnamese,2
Malaysian,2
"North Indian, Chinese, Mughlai, Fast Food",2
"Cafe, Continental, Fast Food, Italian",2
"North Indian, Chinese, Continental, Mughlai",2
"Chinese, Italian, Continental, North Indian",2
"North Indian, Continental, Mexican, Italian",2
"Continental, North Indian, Mughlai, Burmese",2
"Breakfast, Coffee and Tea",2
"Breakfast, Sandwich",2
"Taiwanese, Street Food",2
"North Indian, Chinese, Fast Food, Street Food",2
"Cafe, Bakery, Fast Food",2
"Seafood, Kiwi",2
"South Indian, North Indian, Chinese, Fast Food",2
"Coffee and Tea, Sandwich",2
"American, BBQ",2
"BBQ, Burger, Seafood",2
"North Indian, Chinese, South Indian, Chinese",2
"Juices, Desserts",2
"Seafood, Western",2
Modern Australian,2
"Sandwich, Seafood, Cajun",2
"Continental, Fast Food, Italian",2
Pakistani,2
"Indian, Curry",2
"Asian, Chinese, Thai",2
"British, Contemporary",2
"Chinese, Dim Sum",2
"Indian, Middle Eastern",2
"Desserts, Sandwich",2
"American, BBQ, Southern",2
"Italian, Chinese",2
"Asian, Vietnamese",2
Latin American,2
"Indian, South Indian",2
"American, Mexican, Burger",2
"American, Italian, Seafood",2
"Seafood, Sushi",2
"Continental, Mexican, Fast Food, Chinese",2
"Indian, North Indian, Chinese",2
"American, BBQ, Burger",2
"American, Desserts",2
"Italian, Continental, North Indian, Chinese",2
"North Indian, Chinese, Mediterranean",2
"Seafood, American",2
"Cafe, Burger",2
"Sushi, Japanese",2
"Burger, Bar Food",2
"Mexican, American, Italian",2
Restaurant Cafe,2
"North Indian, Asian, European",2
"Kebab, Desserts, Turkish Pizza",2
"North Indian, South Indian, Street Food, Bakery",2
"Latin American, Mexican, Southwestern",2
"Cafe, Continental, Fast Food",2
Tapas,2
"Juices, Healthy Food",2
"Filipino, Mexican",2
"South Indian, Chettinad",2
"European, Desserts",2
"Mughlai, Chinese, North Indian",2
"Asian, European",2
Kebab,2
"Bar Food, Brazilian",2
"North Indian, Chinese, Mughlai, Continental",1
Contemporary,1
"Fast Food, North Indian, South Indian, Chinese, Bakery",1
"British, Steak",1
"Burger, Pizza, Biryani",1
"Bakery, Fast Food, Street Food",1
"Mithai, Bakery, North Indian",1
"British, Cafe",1
"Latin American, Italian",1
"Raw Meats, Street Food",1
"South Indian, Fast Food, Street Food",1
"Lucknowi, Biryani",1
"Vietnamese, Fish and Chips",1
"Mexican, North Indian",1
"Burger, Fast Food, Chinese, Bakery",1
"Italian, Cafe",1
"Street Food, Fast Food, Chinese, South Indian, North Indian",1
"American, North Indian, Thai, Continental",1
"Fast Food, Raw Meats",1
"Continental, Italian, Fast Food",1
"North Indian, Chinese, Street Food, Mithai",1
"French, Kiwi",1
"Cafe, French",1
"Mediterranean, Cafe, European",1
"Mithai, North Indian, South Indian, Chinese, Street Food, Bakery",1
"Chinese, Italian",1
"Cafe, British",1
"Greek, Mediterranean, Middle Eastern",1
"Cafe, Italian, Coffee and Tea, Western, Indonesian",1
"Continental, Seafood, Chinese, North Indian, Biryani",1
"Burger, Grill",1
"Burger, Pizza, Fast Food",1
"Street Food, South Indian, Chinese",1
"Cafe, Pizza, Italian",1
"American, Italian, North Indian, Chinese, Lebanese",1
"Indian, Cafe, Curry",1
"Indian, Pakistani, Curry",1
"North Indian, Fast Food, Street Food",1
"Steak, Scottish, British",1
"Mithai, South Indian",1
"British, Scottish, Seafood",1
"Biryani, Andhra",1
"Continental, Kashmiri, Italian, North Indian, Moroccan",1
"Sushi, Japanese, Cantonese",1
"Indian, Cafe",1
"American, Continental, Italian",1
"Mithai, North Indian, South Indian, Chinese, Bakery",1
"British, French",1
"Salad, Healthy Food, Burger, Italian, Continental, Chinese, North Indian, Beverages",1
"Seafood, Chinese, Japanese, Vietnamese, Asian, Thai",1
"Cafe, Tea, Desserts",1
"Italian, French, European, Cafe",1
"Scottish, Cafe",1
"Ice Cream, Desserts, Cafe",1
"Indian, Pakistani",1
"North Indian, European, Chinese",1
"European, Continental, Pizza",1
"North Indian, Lebanese, Mexican, Asian, Italian, American, European",1
"Italian, European, Cafe",1
"North Indian, Mughlai, Nepalese, Tibetan, Korean",1
"North Indian, Chinese, Italian, Finger Food",1
"American, European",1
"Cafe, Coffee and Tea, Western",1
"Fast Food, Pizza, Burger",1
"South Indian, Nepalese",1
"Cafe, North Eastern",1
"Tibetan, South Indian, North Indian",1
"North Indian, Continental, Asian, Chinese, Thai",1
"North Indian, South Indian, Chinese, Mughlai",1
"Naga, Chinese",1
"Lucknowi, Mughlai",1
"Cafe, American",1
"Fast Food, South Indian, Chinese",1
"Cafe, Desserts, Beverages",1
"North Indian, Chinese, Mughlai, South Indian",1
"Asian Fusion, Cafe",1
"Biryani, Chinese, North Indian",1
"North Indian, Fast Food, Biryani",1
"North Indian, Mughlai, Chinese, Continental, Fast Food",1
Indonesian,1
"French, Western",1
"North Indian, Chinese, Seafood, Chettinad",1
"North Indian, Chinese, Tibetan",1
"Asian, North Indian, Continental",1
"Thai, Japanese",1
"Peranakan, Indonesian",1
"Cafe, Tibetan",1
"Nepalese, Tibetan",1
"Cafe, Western",1
"Mexican, Italian, North Indian, Continental, Asian",1
"Cafe, Italian, Mexican, Salad, Desserts",1
"Japanese, Sushi, Ramen",1
"Western, Asian, Cafe",1
"Asian, Indonesian, Western",1
"Chinese, Tibetan, Japanese",1
"Thai, Chinese, North Indian",1
"Fast Food, North Indian, Bakery",1
"Cafe, American, Italian",1
"North Indian, South Indian, Continental, Fast Food",1
"Cafe, Pizza",1
"Asian, Thai, Chinese, North Indian",1
"Desserts, Bakery, Western",1
"American, Asian, North Indian, Mexican, South Indian",1
"Cafe, European, Mexican",1
"Cafe, Kiwi, Ice Cream, Desserts",1
"Fast Food, Mithai, Bakery",1
"Chinese, Continental, Mexican",1
"Bakery, Fast Food, Beverages",1
"Cafe, Kiwi",1
"Biryani, Kerala",1
"Asian, Sushi, Seafood",1
"Fast Food, Tea",1
"Cafe, Fast Food, Healthy Food",1
"Asian Fusion, Pub Food, Fusion, Asian, Filipino, Malaysian, Thai",1
"Mughlai, Fast Food, North Indian",1
"North Indian, Mithai, South Indian, Street Food, Fast Food",1
"Kiwi, European",1
"North Indian, South Indian, Street Food, Chinese, Fast Food, Mithai",1
"Sushi, Japanese, Healthy Food",1
"Continental, European, North Indian, French",1
"North Indian, Street Food, South Indian, Mithai",1
"Ice Cream, Street Food",1
"Chinese, North Indian, Mithai, Street Food",1
"North Indian, Chinese, Mexican, Lebanese, Italian, Fast Food",1
"Japanese, French",1
"American, Italian, Bakery, Deli, Burger, Sandwich, Pizza",1
"American, Continental, Italian, Bakery",1
"Desserts, Middle Eastern, Turkish",1
"European, Lebanese, Mediterranean",1
"Cafe, Bakery, Parsi",1
"Indian, North Indian, Curry, Cafe",1
"European, Mediterranean, Contemporary",1
"Ramen, Japanese",1
"Italian, Pizza, Beverages, Desserts, Grill, Seafood",1
"European, South African",1
"North Indian, Chinese, Sri Lankan",1
"South Indian, North Indian, Chinese, Mughlai",1
"Italian, Cafe, Desserts",1
"Japanese, Thai, Sushi",1
"Cafe, Continental, North Indian",1
"Finger Food, Italian",1
"Seafood, Chinese, Japanese, Sushi, Thai",1
"Cafe, Sri Lankan, Continental, American",1
"Continental, Chinese, Japanese, North Indian, Thai",1
Sri Lankan,1
"Malaysian, North Indian, Sri Lankan",1
"North Indian, Continental, South Indian, Chinese",1
"Cafe, Fast Food, Beverages",1
"North Indian, Kashmiri, Chinese, Thai, Korean",1
"Grill, Steak, Burger, Sushi, Tapas",1
"Contemporary, Burger, European",1
"American, Fast Food, Desserts, Steak",1
"Contemporary, Italian",1
"Street Food, Burger, American, Finger Food, German",1
"Indian, Asian, Durban, International, Desserts",1
"Cafe, Italian, Pizza, European, Bakery, Deli",1
"Contemporary, Sushi, Grill, Italian, Steak",1
"Cafe, Grill",1
"European, South African, Steak",1
"Italian, Mediterranean, Sushi, Desserts",1
"Chinese, Mexican, Italian",1
"Continental, Seafood, Burger, South African, Finger Food, Grill",1
"Cafe, Tapas, South African, Beverages, Healthy Food, Desserts, Spanish",1
"Asian, Japanese, Korean, Thai, Chinese",1
"North Indian, Chinese, South Indian, Street Food, Mithai",1
"Bakery, Healthy Food",1
"Street Food, Continental, Burger, Grill",1
"Grill, Burger",1
"American, Chinese, North Indian",1
"Japanese, Chinese, Asian, Thai",1
"Middle Eastern, Arabian",1
"Continental, Chinese, Thai, Mediterranean",1
"Continental, Cafe",1
"Kebab, Turkish Pizza, D�_ner",1
Turkish Pizza,1
"North Indian, Biryani, Mughlai",1
"Restaurant Cafe, Desserts",1
"Mithai, Street Food, North Indian, South Indian, Chinese, Fast Food, Beverages",1
"Restaurant Cafe, Turkish, Desserts",1
"Healthy Food, Juices, Salad",1
"Desserts, B�_rek",1
"Chinese, Thai, Seafood, Naga",1
"South Indian, North Indian, Chinese, Fast Food, Street Food, Mithai",1
"Chinese, Seafood, Thai",1
"Burger, Izgara",1
"South Indian, North Indian, Street Food, Chinese, Mithai",1
"World Cuisine, Patisserie, Cafe",1
"North Indian, Continental, Asian, Italian",1
"Cafe, Mexican, Continental",1
"World Cuisine, Mexican, Italian",1
"Continental, Tex-Mex",1
"Continental, American, Seafood",1
"European, Italian, Cafe",1
"American, British, Continental",1
"American, North Indian, European, Asian",1
"North Indian, Chinese, Thai, Italian, Middle Eastern",1
"American, Fast Food, Steak, Beverages",1
"Patisserie, Coffee and Tea",1
"North Indian, Italian, Continental, Chinese",1
"Kebab, Izgara",1
"American, Continental, North Indian, Chinese",1
"Continental, Asian, Italian, Mediterranean, Burger",1
"Continental, American, Italian, Bakery",1
World Cuisine,1
"Continental, Kerala",1
"North Indian, South Indian, Street Food, Fast Food, Mithai",1
"Burger, American, Beverages",1
"Healthy Food, Seafood, Beverages, Belgian, Contemporary, Desserts, Finger Food, International",1
"Street Food, North Indian, South Indian",1
"South Indian, Chinese, Fast Food, Mithai",1
"Kerala, Indian, Chinese, Bakery",1
"Chinese, Fast Food, Ice Cream",1
"Chinese, North Indian, Italian, Fast Food",1
"Mithai, Chinese, Street Food",1
"Cafe, Chinese, Continental, Italian, Desserts, Beverages",1
"Chinese, North Indian, Italian, Continental, Fast Food",1
"North Indian, Chinese, Turkish",1
"European, Arabian, Japanese, Bakery, Desserts",1
"North Indian, Fast Food, Chinese, Continental",1
"Pizza, Grill",1
"Cafe, Patisserie",1
"Street Food, North Indian, South Indian, Chinese",1
"Ice Cream, Desserts, North Indian, Street Food",1
"Cafe, North Indian, Lebanese, Continental",1
"Argentine, American",1
"North Indian, Mughlai, Continental, Chinese",1
"Indian, Grill",1
"European, Italian, Thai, Chinese, North Indian",1
"Continental, North Indian, American, Italian, Mexican",1
"Fast Food, North Indian, Mughlai",1
"Steak, Seafood, Grill",1
"Gujarati, Rajasthani, North Indian, Fast Food",1
"North Indian, European, South Indian",1
"Tibetan, Fast Food",1
"Fast Food, North Indian, South Indian, Chinese, Street Food, Mithai",1
"Desserts, Fast Food, Ice Cream",1
"Pakistani, Indian, Afghani, Curry",1
"American, Burger, Grill",1
"British, Burger, Cafe",1
"Indian, Seafood",1
"Desserts, Mithai",1
"South Indian, North Indian, Chinese, Street Food, Fast Food",1
"Japanese, Sushi, Asian",1
"Thai, Chinese, Seafood",1
"Cafe, Burger, Tapas, South African, European, Grill",1
"Continental, Chinese, Italian, Finger Food",1
"North Indian, Spanish, Mediterranean",1
"Italian, Mediterranean",1
"Cafe, Desserts, Healthy Food, Juices",1
"Asian, Sushi, Tapas",1
"North Indian, Fast Food, Bihari",1
"South Indian, Street Food, Chinese",1
"North Indian, Afghani",1
"Mughlai, Afghani",1
"Italian, Chinese, Fast Food, North Indian",1
"Chinese, North Indian, Thai",1
"European, Pizza",1
"Burger, Finger Food, Pizza",1
"Continental, South African, Beverages, Desserts, Seafood, Grill, Ice Cream, International",1
African,1
"Burger, Steak, Seafood",1
"North Indian, Lebanese, European, Mexican",1
"European, Contemporary",1
"Seafood, Japanese, Sushi",1
"Japanese, Asian, Seafood, Sushi",1
"Bakery, Desserts, Fast Food, Beverages",1
"North Indian, South Indian, Chinese, Fast Food, Bakery, Mithai",1
"Cafe, Bakery, Tea, Vegetarian",1
"Seafood, Asian, Grill, Sushi",1
"Burger, Fast Food, Grill",1
"Italian, Mexican, Lebanese, Continental",1
"Cafe, Patisserie, Bakery, Desserts",1
"Burger, American, Grill",1
"Seafood, African, Sushi",1
"North Indian, American, Chinese",1
"North Indian, Italian, Continental, Asian",1
"American, Italian, North Indian, European, Thai",1
"Chinese, Fast Food, Pizza",1
"Cafe, Mediterranean",1
"Asian, North Indian, Mughlai",1
"American, Finger Food",1
"North Eastern, North Indian, Chinese",1
